race,id,county_fips,party,votes,county_total_votes,county_vote_percent
President,01059,01059,LIB,105.0,12564.0,0.008357211079274117
President,01059,01059,WRI,10.0,12564.0,0.000795924864692773
President,01061,01061,REP,10844.0,12538.0,0.8648907321741904
President,01061,01061,DEM,1592.0,12538.0,0.12697399904290954
President,01061,01061,LIB,90.0,12538.0,0.007178178337852927
President,01061,01061,WRI,12.0,12538.0,0.000957090445047057
President,01063,01063,DEM,3880.0,4771.0,0.8132466988052819
President,01063,01063,REP,875.0,4771.0,0.1833997065604695
President,01063,01063,LIB,8.0,4771.0,0.0016767973171242926
President,01063,01063,WRI,8.0,4771.0,0.0016767973171242926
President,01065,01065,DEM,4687.0,7922.0,0.5916435243625348
President,01065,01065,REP,3190.0,7922.0,0.40267609189598585
President,01065,01065,LIB,37.0,7922.0,0.004670537742994194
President,01065,01065,WRI,8.0,7922.0,0.001009845998485231
President,01067,01067,REP,6593.0,9266.0,0.7115260090654004
President,01067,01067,DEM,2589.0,9266.0,0.27940859054608247
President,01067,01067,LIB,69.0,9266.0,0.007446578890567667
President,01067,01067,WRI,15.0,9266.0,0.0016188214979494927
President,01069,01069,REP,32384.0,45750.0,0.7078469945355191
President,01069,01069,DEM,12738.0,45750.0,0.27842622950819673
President,01069,01069,LIB,525.0,45750.0,0.011475409836065573
President,01069,01069,WRI,103.0,45750.0,0.0022513661202185793
President,01071,01071,REP,19644.0,23602.0,0.8323023472587069
President,01071,01071,DEM,3709.0,23602.0,0.1571476993475129
President,01071,01071,LIB,208.0,23602.0,0.008812812473519194
President,01071,01071,WRI,41.0,23602.0,0.0017371409202609949
President,01073,01073,DEM,180936.0,324675.0,0.5572834372834373
President,01073,01073,REP,138443.0,324675.0,0.4264048664048664
President,01073,01073,LIB,3568.0,324675.0,0.01098945098945099
President,01073,01073,WRI,1728.0,324675.0,0.005322245322245322
President,01075,01075,REP,6168.0,7187.0,0.8582162237373034
President,01075,01075,DEM,978.0,7187.0,0.1360790315848059
President,01075,01075,LIB,33.0,7187.0,0.004591623765131487
President,01075,01075,WRI,8.0,7187.0,0.0011131209127591484
President,01077,01077,REP,31578.0,44149.0,0.7152596887811729
President,01077,01077,DEM,11872.0,44149.0,0.2689075630252101
President,01077,01077,LIB,533.0,44149.0,0.012072753629753788
President,01077,01077,WRI,166.0,44149.0,0.003759994563863281
President,01005,01005,REP,5605.0,10457.0,0.5360045902266425
President,01005,01005,DEM,4772.0,10457.0,0.4563450320359568
President,01005,01005,LIB,68.0,10457.0,0.0065028210767906665
President,01005,01005,WRI,12.0,10457.0,0.0011475566606101177
President,01079,01079,REP,12266.0,15957.0,0.7686908566773203
President,01079,01079,DEM,3544.0,15957.0,0.2220968853794573
President,01079,01079,LIB,126.0,15957.0,0.007896221094190638
President,01079,01079,WRI,21.0,15957.0,0.0013160368490317729
President,01081,01081,REP,42019.0,70980.0,0.5919836573682727
President,01081,01081,DEM,27600.0,70980.0,0.3888419273034658
President,01081,01081,LIB,1012.0,70980.0,0.014257537334460411
President,01081,01081,WRI,349.0,70980.0,0.004916877993801071
President,01083,01083,REP,34337.0,48754.0,0.7042909299749764
President,01083,01083,DEM,13510.0,48754.0,0.27710546826927024
President,01083,01083,LIB,736.0,48754.0,0.015096197235098658
President,01083,01083,WRI,171.0,48754.0,0.0035074045206547155
President,01085,01085,DEM,4968.0,6830.0,0.7273792093704246
President,01085,01085,REP,1835.0,6830.0,0.2686676427525622
President,01085,01085,LIB,26.0,6830.0,0.003806734992679356
President,01085,01085,WRI,1.0,6830.0,0.00014641288433382137
President,01087,01087,DEM,7084.0,8697.0,0.8145337472691733
President,01087,01087,REP,1539.0,8697.0,0.17695757157640565
President,01087,01087,LIB,52.0,8697.0,0.005979073243647235
President,01087,01087,WRI,22.0,8697.0,0.00252960791077383
President,01089,01089,REP,102395.0,193955.0,0.5279317367430589
President,01089,01089,DEM,86885.0,193955.0,0.44796473408780385
President,01089,01089,LIB,3678.0,193955.0,0.018963161558093373
President,01089,01089,WRI,997.0,193955.0,0.005140367611043799
President,01091,01091,DEM,5476.0,10882.0,0.5032163205293144
President,01091,01091,REP,5337.0,10882.0,0.49044293328432276
President,01091,01091,LIB,59.0,10882.0,0.005421797463701526
President,01091,01091,WRI,10.0,10882.0,0.0009189487226612755
President,01093,01093,REP,12190.0,13786.0,0.8842303786450022
President,01093,01093,DEM,1457.0,13786.0,0.10568692876831569
President,01093,01093,LIB,115.0,13786.0,0.00834179602495285
President,01093,01093,WRI,24.0,13786.0,0.0017408965617292905
President,01095,01095,REP,33094.0,39492.0,0.837992504811101
President,01095,01095,DEM,5880.0,39492.0,0.14889091461561835
President,01095,01095,LIB,432.0,39492.0,0.010938924339106655
President,01095,01095,WRI,86.0,39492.0,0.00217765623417401
President,01097,01097,REP,100605.0,181783.0,0.5534345895930862
President,01097,01097,DEM,78754.0,181783.0,0.43323083016563707
President,01097,01097,LIB,1920.0,181783.0,0.010562043755466682
President,01097,01097,WRI,504.0,181783.0,0.002772536485810004
President,01007,01007,REP,7508.0,9573.0,0.7842891465580278
President,01007,01007,DEM,1982.0,9573.0,0.20704063511960724
President,01007,01007,LIB,73.0,9573.0,0.007625613705212577
President,01007,01007,WRI,10.0,9573.0,0.0010446046171524077
President,01099,01099,REP,6129.0,10620.0,0.5771186440677966
President,01099,01099,DEM,4425.0,10620.0,0.4166666666666667
President,01099,01099,LIB,53.0,10620.0,0.004990583804143126
President,01099,01099,WRI,13.0,10620.0,0.001224105461393597
President,01101,01101,DEM,64065.0,98476.0,0.6505646045737032
President,01101,01101,REP,33122.0,98476.0,0.3363459116942199
President,01101,01101,LIB,916.0,98476.0,0.009301758804175636
President,01101,01101,WRI,373.0,98476.0,0.0037877249279012143
President,01103,01103,REP,39504.0,53482.0,0.7386410381062788
President,01103,01103,DEM,13159.0,53482.0,0.24604539845181556
President,01103,01103,LIB,700.0,53482.0,0.013088515762312554
President,01103,01103,WRI,119.0,53482.0,0.0022250476795931343
President,01105,01105,DEM,3849.0,5215.0,0.7380632790028763
President,01105,01105,REP,1336.0,5215.0,0.25618408437200385
President,01105,01105,LIB,23.0,5215.0,0.004410354745925216
President,01105,01105,WRI,7.0,5215.0,0.0013422818791946308
President,01107,01107,REP,5590.0,9659.0,0.5787348586810229
President,01107,01107,DEM,4017.0,9659.0,0.4158815612382234
President,01107,01107,LIB,40.0,9659.0,0.004141215446733616
President,01107,01107,WRI,12.0,9659.0,0.0012423646340200848
President,01109,01109,REP,8020.0,13796.0,0.5813279211365613
President,01109,01109,DEM,5613.0,13796.0,0.40685706001739635
President,01109,01109,LIB,134.0,13796.0,0.009712960278341549
President,01109,01109,WRI,29.0,13796.0,0.002102058567700783
President,01111,01111,REP,8548.0,10824.0,0.7897265336289726
President,01111,01111,DEM,2203.0,10824.0,0.2035291943828529
President,01111,01111,LIB,59.0,10824.0,0.005450849963045085
President,01111,01111,WRI,14.0,10824.0,0.0012934220251293422
President,01113,01113,DEM,11078.0,21108.0,0.5248247110100436
President,01113,01113,REP,9796.0,21108.0,0.46408944476028047
President,01113,01113,LIB,195.0,21108.0,0.00923820352472996
President,01113,01113,WRI,39.0,21108.0,0.001847640704945992
President,01115,01115,REP,36119.0,44346.0,0.8144815766923736
President,01115,01115,DEM,7698.0,44346.0,0.17358950074414828
President,01115,01115,LIB,444.0,44346.0,0.010012176971992965
