"Rank","City","County","Average VantageScore 3.0 Credit Score",""
"522","Leechburg","Westmoreland County","701",""
"523","Sandy Lake","Mercer County","701",""
"524","Rockwood","Somerset County","701",""
"525","Red Lion","York County","701",""
"526","Belle Vernon","Westmoreland County","701",""
"527","Nescopeck","Luzerne County","701",""
"528","Perryopolis","Fayette County","701",""
"529","Imler","Bedford County","700",""
"530","Punxsutawney","Jefferson County","700",""
"531","Thompson","Susquehanna County","700",""
"532","Mount Pleasant","Westmoreland County","700",""
"533","Hop Bottom","Susquehanna County","700",""
"534","Christiana","Lancaster County","700",""
"535","North East","Erie County","700",""
"536","Willow Grove","Montgomery County","700",""
"537","Oxford","Chester County","700",""
"538","Industry","Beaver County","700",""
"539","Springville","Susquehanna County","700",""
"540","Shade Gap","Huntingdon County","699",""
"541","Wind Gap","Northampton County","699",""
"542","Darlington","Beaver County","699",""
"543","Cowansville","Armstrong County","699",""
"544","Pittsburgh","Allegheny County","699",""
"545","Harveys Lake","Luzerne County","699",""
"546","Landisburg","Perry County","699",""
"547","Morton","Delaware County","699",""
"548","Rices Landing","Greene County","699",""
"549","Creekside","Indiana County","699",""
"550","Townville","Crawford County","699",""
"551","Indiana","Indiana County","699",""
"552","Du Bois","Clearfield County","699",""
"553","Williamsburg","Blair County","699",""
"554","Houston","Washington County","699",""
"555","Boswell","Somerset County","699",""
"556","Pocono Lake","Monroe County","699",""
"557","Millerton","Tioga County","698",""
"558","Penfield","Clearfield County","698",""
"559","Slippery Rock","Butler County","698",""
"560","Saylorsburg","Monroe County","698",""
"561","Honey Brook","Chester County","698",""
"562","Shippensburg","Cumberland County","698",""
"563","White Haven","Luzerne County","698",""
"564","Tionesta","Forest County","698",""
"565","Kittanning","Armstrong County","698",""
"566","Avonmore","Armstrong County","698",""
"567","Milford","Pike County","698",""
"568","Waymart","Wayne County","698",""
"569","Watsontown","Northumberland County","698",""
"570","Mill Creek","Huntingdon County","698",""
"571","Ford City","Armstrong County","698",""
"572","Patton","Cambria County","698",""
"573","Sugar Grove","Warren County","698",""
"574","New Paris","Bedford County","698",""
"575","Polk","Venango County","698",""
"576","Montrose","Susquehanna County","698",""
"577","Saint Thomas","Franklin County","698",""
"578","Lehighton","Carbon County","697",""
"579","Folsom","Delaware County","697",""
"580","Girard","Erie County","697",""
"581","Schuylkill Haven","Schuylkill County","697",""
"582","Dayton","Armstrong County","697",""
"583","Cooperstown","Venango County","697",""
"584","Hastings","Cambria County","697",""
"585","Transfer","Mercer County","697",""
"586","Bethlehem","Northampton County","697",""
"587","Ulster","Bradford County","697",""
"588","Clairton","Allegheny County","696",""
"589","New Florence","Indiana County","696",""
"590","New Milford","Susquehanna County","696",""
"591","New Albany","Bradford County","696",""
"592","Galeton","Potter County","696",""
"593","Coal Center","Washington County","696",""
"594","Mahaffey","Clearfield County","696",""
"595","Curwensville","Clearfield County","696",""
"596","Atglen","Chester County","696",""
"597","Tunkhannock","Wyoming County","696",""
"598","Hopewell","Bedford County","696",""
"599","Homer City","Indiana County","696",""
"600","Mill Hall","Clinton County","696",""
"601","Morrisdale","Clearfield County","696",""
"602","Airville","York County","696",""
"603","Shickshinny","Luzerne County","696",""
"604","Waynesboro","Franklin County","695",""
"605","Sharpsville","Mercer County","695",""
"606","Wampum","Lawrence County","695",""
"607","Portage","Cambria County","695",""
"608","Saltsburg","Indiana County","695",""
"609","Boyers","Butler County","695",""
"610","Garrett","Somerset County","695",""
"611","Beaver Meadows","Carbon County","695",""
"612","Reynoldsville","Jefferson County","695",""
"613","Harrisville","Butler County","695",""
"614","Templeton","Armstrong County","695",""
"615","Ulysses","Potter County","695",""
"616","Shirleysburg","Huntingdon County","695",""
"617","New Bloomfield","Perry County","695",""
"618","Prosperity","Washington County","694",""
"619","Windber","Somerset County","694",""
"620","Mansfield","Tioga County","694",""
"621","Natrona Heights","Allegheny County","694",""
"622","Weatherly","Carbon County","694",""
"623","Johnstown","Cambria County","694",""
"624","Peach Bottom","Lancaster County","694",""
"625","Sligo","Clarion County","694",""
"626","Jersey Shore","Lycoming County","694",""
"627","Burgettstown","Washington County","694",""
"628","Ickesburg","Perry County","694",""
"629","Milton","Northumberland County","694",""
"630","Jermyn","Lackawanna County","694",""
"631","East Brady","Armstrong County","694",""
"632","Cresco","Monroe County","694",""
"633","Columbia Cross Roads","Bradford County","694",""
"634","Thomasville","York County","693",""
"635","Edinburg","Lawrence County","693",""
"636","Scottdale","Westmoreland County","693",""
"637","Monongahela","Washington County","693",""
"638","Ashland","Schuylkill County","693",""
"639","Newfoundland","Wayne County","693",""
"640","Tyrone","Blair County","693",""
"641","Dallastown","York County","693",""
"642","Jamestown","Crawford County","693",""
"643","Jim Thorpe","Carbon County","692",""
"644","West Newton","Westmoreland County","692",""
"645","Nottingham","Chester County","692",""
"646","Pen Argyl","Northampton County","692",""
"647","Kane","McKean County","692",""
"648","Elizabethville","Dauphin County","692",""
"649","Bangor","Northampton County","692",""
"650","Lancaster","Lancaster County","692",""
"651","Carnegie","Allegheny County","692",""
"652","Smock","Fayette County","692",""
"653","Roaring Branch","Tioga County","692",""
"654","Jeannette","Westmoreland County","692",""
"655","Monaca","Beaver County","692",""
"656","Ridgway","Elk County","692",""
"657","Manor","Westmoreland County","692",""
"658","Atlantic","Crawford County","692",""
"659","Fairless Hills","Bucks County","692",""
"660","Mc Connellsburg","Fulton County","692",""
"661","Cherry Tree","Indiana County","692",""
"662","Richlandtown","Bucks County","692",""
"663","Springdale","Allegheny County","692",""
"664","Thorndale","Chester County","692",""
"665","Mapleton Depot","Huntingdon County","691",""
"666","Coudersport","Potter County","691",""
"667","Hustontown","Fulton County","691",""
"668","Marietta","Lancaster County","691",""
"669","Gillett","Bradford County","691",""
"670","Wyncote","Montgomery County","691",""
"671","South Fork","Cambria County","691",""
"672","Coalport","Clearfield County","691",""
"673","Sayre","Bradford County","691",""
"674","Clarion","Clarion County","691",""
"675","Duncannon","Perry County","691",""
"676","Nesquehoning","Carbon County","691",""
"677","Grantville","Dauphin County","691",""
"678","Aliquippa","Beaver County","691",""
"679","Dawson","Fayette County","691",""
"680","Meadville","Crawford County","690",""
"681","Palmerton","Carbon County","690",""
"682","Shermans Dale","Perry County","690",""
"683","Pleasantville","Venango County","690",""
"684","Unityville","Lycoming County","690",""
"685","Farmington","Fayette County","690",""
"686","Easton","Northampton County","690",""
"687","Hughesville","Lycoming County","690",""
"688","Marianna","Washington County","690",""
"689","Austin","Potter County","690",""
"690","Woodland","Clearfield County","690",""
"691","Wrightsville","York County","690",""
"692","Linden","Lycoming County","690",""
"693","New Kensington","Westmoreland County","690",""
"694","Susquehanna","Susquehanna County","690",""
"695","Scotrun","Monroe County","690",""
"696","Nicholson","Wyoming County","690",""
"697","Johnsonburg","Elk County","690",""
"698","Fort Loudon","Franklin County","690",""
"699","Newport","Perry County","690",""
"700","Bolivar","Westmoreland County","690",""
"701","Warfordsburg","Fulton County","689",""
"702","Hopwood","Fayette County","689",""
"703","Forest City","Susquehanna County","689",""
"704","Strattanville","Clarion County","689",""
"705","Central City","Somerset County","689",""
"706","Parkesburg","Chester County","689",""
"707","Georgetown","Beaver County","689",""
"708","Beaver Falls","Beaver County","689",""
"709","Knoxville","Tioga County","689",""
"710","Bensalem","Bucks County","689",""
"711","Greenville","Mercer County","689",""
"712","East Waterford","Juniata County","689",""
"713","Troy","Bradford County","689",""
"714","Meyersdale","Somerset County","689",""
"715","Centerville","Crawford County","689",""
"716","Hallstead","Susquehanna County","688",""
"717","Smithton","Westmoreland County","688",""
"718","Olyphant","Lackawanna County","688",""
"719","Duryea","Luzerne County","688",""
"720","Kulpmont","Northumberland County","688",""
"721","Blairsville","Indiana County","688",""
