"Rank","City","County","State","Average VantageScore 3.0 Credit Score",""
"127","Manasquan","Monmouth County","New Jersey","744",""
"128","Milford","Hunterdon County","New Jersey","743",""
"129","Sea Isle City","Cape May County","New Jersey","743",""
"130","Alpine","Bergen County","New Jersey","743",""
"131","Brielle","Monmouth County","New Jersey","743",""
"132","Clinton","Hunterdon County","New Jersey","742",""
"133","Metuchen","Middlesex County","New Jersey","741",""
"134","Rumson","Monmouth County","New Jersey","740",""
"135","Parsippany","Morris County","New Jersey","740",""
"136","Rockaway","Morris County","New Jersey","740",""
"137","Milltown","Middlesex County","New Jersey","740",""
"138","Pequannock","Morris County","New Jersey","740",""
"139","Millstone Township","Monmouth County","New Jersey","740",""
"140","Moorestown","Burlington County","New Jersey","740",""
"141","Fairfield","Essex County","New Jersey","740",""
"142","Ringwood","Passaic County","New Jersey","739",""
"143","Stirling","Morris County","New Jersey","739",""
"144","Hampton","Hunterdon County","New Jersey","739",""
"145","Monmouth Junction","Middlesex County","New Jersey","739",""
"146","Ledgewood","Morris County","New Jersey","738",""
"147","Plainsboro","Middlesex County","New Jersey","738",""
"148","Longport","Atlantic County","New Jersey","737",""
"149","Springfield","Union County","New Jersey","737",""
"150","Englishtown","Monmouth County","New Jersey","736",""
"151","Cranbury","Middlesex County","New Jersey","736",""
"152","Oceanport","Monmouth County","New Jersey","736",""
"153","Oak Ridge","Morris County","New Jersey","736",""
"154","Hainesport","Burlington County","New Jersey","735",""
"155","Morristown","Morris County","New Jersey","735",""
"156","Newfoundland","Morris County","New Jersey","735",""
"157","Sparta","Sussex County","New Jersey","735",""
"158","Glen Gardner","Hunterdon County","New Jersey","735",""
"159","Mount Arlington","Morris County","New Jersey","735",""
"160","Edison","Middlesex County","New Jersey","734",""
"161","Bloomsbury","Hunterdon County","New Jersey","734",""
"162","Waretown","Ocean County","New Jersey","734",""
"163","Lambertville","Hunterdon County","New Jersey","733",""
"164","Boonton","Morris County","New Jersey","733",""
"165","Colonia","Middlesex County","New Jersey","733",""
"166","Cream Ridge","Monmouth County","New Jersey","733",""
"167","Marlton","Burlington County","New Jersey","732",""
"168","Wood Ridge","Bergen County","New Jersey","732",""
"169","Mullica Hill","Gloucester County","New Jersey","732",""
"170","Linwood","Atlantic County","New Jersey","732",""
"171","Middletown","Monmouth County","New Jersey","732",""
"172","Spring Lake","Monmouth County","New Jersey","732",""
"173","Haddon Heights","Camden County","New Jersey","731",""
"174","Leonia","Bergen County","New Jersey","731",""
"175","Mount Laurel","Burlington County","New Jersey","731",""
"176","Blairstown","Warren County","New Jersey","730",""
"177","Lawrence Township","Mercer County","New Jersey","729",""
"178","Port Murray","Warren County","New Jersey","729",""
"179","West Milford","Passaic County","New Jersey","729",""
"180","Fort Lee","Bergen County","New Jersey","729",""
"181","Avon By The Sea","Monmouth County","New Jersey","729",""
"182","Hasbrouck Heights","Bergen County","New Jersey","729",""
"183","Northvale","Bergen County","New Jersey","729",""
"184","Frenchtown","Hunterdon County","New Jersey","728",""
"185","Highland Park","Middlesex County","New Jersey","728",""
"186","Rutherford","Bergen County","New Jersey","728",""
"187","High Bridge","Hunterdon County","New Jersey","728",""
"188","Vincentown","Burlington County","New Jersey","728",""
"189","Stockholm","Sussex County","New Jersey","728",""
"190","Branchville","Sussex County","New Jersey","727",""
"191","Cherry Hill","Camden County","New Jersey","727",""
"192","Lafayette","Sussex County","New Jersey","727",""
"193","Port Republic","Atlantic County","New Jersey","727",""
"194","Three Bridges","Hunterdon County","New Jersey","727",""
"195","Riverton","Burlington County","New Jersey","727",""
"196","Franklin Park","Somerset County","New Jersey","725",""
"197","Allenhurst","Monmouth County","New Jersey","725",""
"198","Voorhees","Camden County","New Jersey","725",""
"199","Great Meadows","Warren County","New Jersey","724",""
"200","Flanders","Morris County","New Jersey","724",""
"201","Lake Hiawatha","Morris County","New Jersey","724",""
"202","Lincoln Park","Morris County","New Jersey","724",""
"203","Nutley","Essex County","New Jersey","724",""
"204","Pine Beach","Ocean County","New Jersey","724",""
"205","Andover","Sussex County","New Jersey","723",""
"206","Jobstown","Burlington County","New Jersey","723",""
"207","Manchester Township","Ocean County","New Jersey","723",""
"208","Atlantic Highlands","Monmouth County","New Jersey","722",""
"209","South Orange","Essex County","New Jersey","722",""
"210","Ocean View","Cape May County","New Jersey","722",""
"211","Marmora","Cape May County","New Jersey","721",""
"212","Stewartsville","Warren County","New Jersey","721",""
"213","Dumont","Bergen County","New Jersey","721",""
"214","Margate City","Atlantic County","New Jersey","721",""
