"Rank","City","County","State","Average VantageScore 3.0 Credit Score",""
"136","Audubon","Audubon County","Iowa","727",""
"137","Primghar","O'Brien County","Iowa","727",""
"138","Earlham","Madison County","Iowa","726",""
"139","Greene","Butler County","Iowa","726",""
"140","Roland","Story County","Iowa","726",""
"141","West Branch","Cedar County","Iowa","726",""
"142","Manchester","Delaware County","Iowa","726",""
"143","Pocahontas","Pocahontas County","Iowa","726",""
"144","Monticello","Jones County","Iowa","725",""
"145","Springville","Linn County","Iowa","725",""
"146","Holstein","Ida County","Iowa","725",""
"147","Lisbon","Linn County","Iowa","725",""
"148","Dunkerton","Black Hawk County","Iowa","725",""
"149","Shell Rock","Butler County","Iowa","725",""
"150","Cambridge","Story County","Iowa","725",""
"151","Tiffin","Johnson County","Iowa","725",""
"152","Milford","Dickinson County","Iowa","724",""
"153","Le Mars","Plymouth County","Iowa","724",""
"154","Bondurant","Polk County","Iowa","724",""
"155","Garner","Hancock County","Iowa","724",""
"156","Newhall","Benton County","Iowa","724",""
"157","Winthrop","Buchanan County","Iowa","724",""
"158","Rockwell","Cerro Gordo County","Iowa","724",""
"159","Princeton","Scott County","Iowa","724",""
"160","Sanborn","O'Brien County","Iowa","723",""
"161","Lake Park","Dickinson County","Iowa","723",""
"162","Humboldt","Humboldt County","Iowa","723",""
"163","Wayland","Henry County","Iowa","723",""
"164","Aurelia","Cherokee County","Iowa","723",""
"165","Donnellson","Lee County","Iowa","723",""
"166","Armstrong","Emmet County","Iowa","723",""
"167","Coralville","Johnson County","Iowa","722",""
"168","Central City","Linn County","Iowa","722",""
"169","Iowa City","Johnson County","Iowa","722",""
"170","Clarksville","Butler County","Iowa","722",""
"171","Cresco","Howard County","Iowa","722",""
"172","Sibley","Osceola County","Iowa","722",""
"173","Bancroft","Kossuth County","Iowa","722",""
"174","Buffalo Center","Winnebago County","Iowa","722",""
"175","Waukon","Allamakee County","Iowa","722",""
"176","Ames","Story County","Iowa","722",""
"177","Windsor Heights","Polk County","Iowa","722",""
"178","Fredericksburg","Chickasaw County","Iowa","722",""
"179","Sutherland","O'Brien County","Iowa","722",""
"180","Sheffield","Franklin County","Iowa","721",""
"181","Mc Gregor","Clayton County","Iowa","721",""
"182","Wellman","Washington County","Iowa","721",""
"183","Nora Springs","Floyd County","Iowa","721",""
