"Rank","City","County","State","Average VantageScore 3.0 Credit Score"
"218","Hillsborough","Somerset","New Jersey","750.3"
"219","Bala Cynwyd","Montgomery","Pennsylvania","750.2"
"220","Oakland Gardens","Queens","New York","750"
"221","Westwood","Bergen","New Jersey","750"
"222","North Reading","Middlesex","Massachusetts","750"
"223","Tolland","Tolland","Connecticut","749.9"
"224","Severna Park","Anne Arundel","Maryland","749.9"
"225","East Aurora","Erie","New York","749.9"
"226","Wallingford","Delaware","Pennsylvania","749.9"
"227","Center Valley","Lehigh","Pennsylvania","749.9"
"228","Malverne","Nassau","New York","749.9"
"229","Princeton","Mercer","New Jersey","749.8663906"
"230","Swarthmore","Delaware","Pennsylvania","749.6"
"231","Glenshaw","Allegheny","Pennsylvania","749.5"
"232","Middlebury","New Haven","Connecticut","749.4"
"233","Webster","Monroe","New York","749.3"
"234","Duxbury","Plymouth","Massachusetts","749.3"
"235","River Edge","Bergen","New Jersey","749.3"
"236","Columbus","Burlington","New Jersey","749.3"
"237","Oxford","New Haven","Connecticut","749.2"
"238","Doylestown","Bucks","Pennsylvania","749.128027"
"239","Upton","Worcester","Massachusetts","749.1"
"240","Chalfont","Bucks","Pennsylvania","749"
"241","Woodbine","Howard","Maryland","749"
"242","Cedar Grove","Essex","New Jersey","748.9"
"243","Cresskill","Bergen","New Jersey","748.9"
"244","Caldwell","Essex","New Jersey","748.8"
"245","Bryn Mawr","Delaware","Pennsylvania","748.8"
"246","Southbury","New Haven","Connecticut","748.8"
"247","Brewster","Barnstable","Massachusetts","748.8"
"248","Westborough","Worcester","Massachusetts","748.7"
"249","Lititz","Lancaster","Pennsylvania","748.5"
"250","Kensington","Montgomery","Maryland","748.5"
