county_fips,county_population,county_2020_all_cause_deaths_per_100k,county_covid19_deaths_per_100k
2020,288000.0,8826.388888888889,604.1666666666667
2050,18386.0,6581.0943108887195,707.0597193516807
2070,4916.0,6305.939788445891,
2090,96849.0,6112.608287127384,330.41125876364237
2110,31974.0,5285.544504910239,
2122,58708.0,7051.849833072153,238.4683518430197
2130,13901.0,7049.8525285950645,0.0
2150,12998.0,4693.029696876442,
2170,108317.0,6564.066582346261,286.1969958547597
2180,10004.0,6497.401039584167,0.0
2198,6203.0,7415.766564565533,0.0
2220,8493.0,6122.68927351937,0.0
1001,55869.0,10882.600368719684,1396.1230736186437
1003,223234.0,11826.155513945008,954.1557289660177
1005,24686.0,12922.30413999838,1174.7549218180345
1007,22394.0,9198.892560507278,1116.3704563722424
1009,57826.0,9960.917234462007,760.9033998547366
1011,10101.0,10197.010197010197,
1013,19448.0,13677.498971616618,1593.9942410530646
1015,113605.0,16830.245147660757,2244.619514986136
1017,33254.0,13111.204667107715,932.2186804594936
1019,26196.0,12826.38570774164,610.780271797221
1021,44428.0,10443.864229765013,607.7248581975331
1023,12589.0,11200.254190166019,1191.516403209151
1025,23622.0,13377.36008805351,
1027,13235.0,17529.278428409518,2568.9459765772576
1029,14910.0,10865.191146881289,871.8980549966466
1031,52342.0,12380.115394902756,1299.147911810783
1033,55241.0,15187.994424431128,2769.6819391394074
1035,12067.0,11436.148172702411,
1037,10663.0,7502.579011535216,
1039,37049.0,17787.254716726497,2510.1892088855298
1041,13772.0,16627.9407493465,2178.332849259367
1043,83768.0,16354.693916531372,2303.982427657339
1045,49172.0,10941.186040836248,1321.8905067924834
1047,37196.0,16722.22819658028,2795.9995698462203
1049,71513.0,12501.223553759455,1440.2975682742997
1051,81209.0,9925.008311886613,689.5787412725191
1053,36633.0,12939.1532225043,1364.889580432943
1055,102268.0,19810.69347205382,3295.263425509446
1057,16302.0,12145.748987854251,1472.211998527788
1059,31362.0,11925.259868630828,829.0287609208597
1061,26271.0,14654.94271249667,1141.9435879867535
1065,14651.0,12354.105521807385,1296.8398061565763
1067,17205.0,9183.376925312408,
1069,105882.0,23186.188398405775,4760.015866719556
1071,51626.0,15031.185836593964,1181.5751752992678
